Name,Version,Package,Status

Windows Driver Package - Adafruit Industries LLC (usbser) Ports  (02/25/2016 6.2.2600.0),02/25/2016 6.2.2600.0,,1

Windows Driver Package - libusb-win32 (libusb0) libusb-win32 devices  (04/21/2015 1.0.0.0),04/21/2015 1.0.0.0,,1

7-Zip 22.00 (x64),22.00,7zip,5

RSI Launcher 1.6.5,1.6.5,,1

Windows Driver Package - Arduino LLC (www.arduino.cc) Arduino USB Driver (11/24/2015 1.2.3.0),11/24/2015 1.2.3.0,,1

Windows Driver Package - Arduino LLC (www.arduino.cc) Genuino USB Driver (01/07/2016 1.0.3.0),01/07/2016 1.0.3.0,,1

Git,2.39.1,git,5

HWiNFO64 Version 7.42,7.42,,1

Microsoft Visual J# 2.0 Redistributable Package - SE (x64),2.0.50728,vjredist,1

Mozilla Firefox (x64 en-US),112.0,Firefox,5

Mozilla Maintenance Service,101.0.1,,1

Office 16 Click-to-Run Extensibility Component,16.0.16130.20218,,1

Microsoft 365 - en-us,16.0.16227.20258,,1

Office 16 Click-to-Run Licensing Component,16.0.16227.20204,,1

Microsoft OneDrive,23.061.0319.0003,,1

ASUS Aura SDK,3.4.11,wd-dashboard,1

Python 3.10.5 Utility Scripts (64-bit),3.10.5150.0,python311,5

PHISON HAL,1.0.9.0,,1

Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148,9.0.30729.4148,,1

Python 3.11.0 Standard Library (64-bit),3.11.150.0,python311,5

AURA Service,3.5.40,,1

AURA Service,3.05.40,,1

Python 3.11.0 Core Interpreter (64-bit),3.11.150.0,python311,5

Microsoft .NET Host FX Resolver - 6.0.15 (x86),48.63.56695,debugdiagnostictool,1

Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219,,1

Microsoft Visual C++ 2022 X64 Additional Runtime - 14.34.31931,14.34.31931,,1

Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219,,1

Microsoft Update Health Tools,3.70.0.0,,1

X86 Debuggers And Tools,10.1.17763.132,,1

Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0.21005,mssqlserver-compact4.0,1

Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0.21005,mssqlserver-compact4.0,1

Node.js,18.12.1,nodejs,5

Python 3.10.5 Standard Library (64-bit),3.10.5150.0,python311,5

Python 3.11.0 Utility Scripts (64-bit),3.11.150.0,python311,5

Apple Software Update,2.7.0.3,,1

Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31931,14.34.31931,,1

AURA lighting effect add-on x64,0.0.21,wd-dashboard,1

VMware vSphere Client 5.5,5.5.0.4216,,1

Universal Holtek RGB DRAM,1.0.0.2,,1

Universal Holtek RGB DRAM,1.0.0.2,,1

VLC media player,3.0.18,vlc,5

Java 8 Update 361,8.0.3610.9,jdk8,5

Java 8 Update 361 (64-bit),8.0.3610.9,jdk8,5

Python 3.11.0 Tcl/Tk Support (64-bit),3.11.150.0,python311,5

WD_BLACK AN1500,1.0.14.0,wd-dashboard,1

ASUS AURA Motherboard HAL,1.3.0.0,wd-dashboard,1

Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,12.0.21005,mssqlserver-compact4.0,1

Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161,,1

Epic Online Services,2.0.36.0,legendary,1

Adobe Acrobat (64-bit),23.1.20093,adobereader,5

Adobe Refresh Manager,1.8.0,,1

VoiceFX (Demo) (VST3.x) v0.3.2.0-g32d09129,0.3.2.0-g32d09129,,1

ASUS AURA VGA Component,0.0.4.3,wd-dashboard,1

Python 3.10.5 pip Bootstrap (64-bit),3.10.5150.0,python310,5

ROG Live Service,2.0.6.0,,1

Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,9.0.30729.6161,,1

X64 Debuggers And Tools,10.1.17763.132,,1

Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,12.0.21005,mssqlserver-compact4.0,1

UniversalForwarder,9.0.0.1,splunk-universalforwarder,5

Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030,,1

Windows PC Health Check,3.6.2204.8001,,1

Tobii Experience Software For Windows,4.68.1.22182,,1

Apple Mobile Device Support,16.5.0.12,iTunes,1

Python 3.11.0 Documentation (64-bit),3.11.150.0,python311,5

Python 3.10.5 Documentation (64-bit),3.10.5150.0,python310,5

Bonjour,3.1.0.1,bonjour,1

AURA DRAM Component,1.1.18,,1

ASUS Update Helper,1.3.107.93,,1

Go Programming Language amd64 go1.19.5,1.19.5,go,5

Python Launcher,3.11.7966.0,,1

VMware Remote Console,12.0.3,,1

Microsoft .NET Host - 6.0.15 (x86),48.63.56695,debugdiagnostictool,1

UE Prerequisites (x64),1.0.16.0,,1

Microsoft Windows Desktop Runtime - 6.0.15 (x86),48.63.56729,,1

Microsoft Windows Desktop Runtime - 6.0.15 (x86),6.0.15.32217,,1

Python 3.11.0 Test Suite (64-bit),3.11.150.0,python311,5

Elgato Audio Effects,1.1.0.0,wavelink,5

iCloud Outlook,13.4.0.99,iCloud,5

Epic Games Launcher,1.3.51.0,epicgameslauncher,5

AURA lighting effect add-on,0.0.21,wd-dashboard,1

Malwarebytes version 4.5.25.256,4.5.25.256,malwarebytes,5

Tukui Client,3.4.1,tukui,5

Oracle VM VirtualBox 7.0.6,7.0.6,virtualbox,5

NVIDIA Audio Effects SDK,1.3.0.21,xmedia-recode,1

Python 3.11.0 pip Bootstrap (64-bit),3.11.150.0,python311,5

Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030,,1

NVIDIA Graphics Driver 531.41,531.41,,1

Microsoft .NET Runtime - 6.0.15 (x86),48.63.56695,,1

Python 3.11.0 Add to Path (64-bit),3.11.150.0,python311,5

Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030,,1

ENE RGB HAL,1.1.39.18,,1

NVIDIA GeForce Experience 3.27.0.112,3.27.0.112,geforce-experience,5

ASUS AURA Extension Card HAL,1.1.0.18,wd-dashboard,1

Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148,9.0.30729.4148,,1

